rok;wojewodztwo;powiat;gmina;teryt
2006;lubelskie;bialski;kodeń;60106
2006;lubelskie;bialski;konstantynów;60107
2006;lubelskie;bialski;leśna podlaska;60108
2006;lubelskie;bialski;łomazy;60109
2006;lubelskie;bialski;biała podlaska;60103
2006;lubelskie;bialski;drelów;60104
2006;lubelskie;bialski;międzyrzec podlaski;60110
2006;lubelskie;bialski;rokitno;60112
2006;lubelskie;bialski;rossosz;60113
2006;lubelskie;bialski;sławatycze;60114
2006;lubelskie;bialski;terespol;60116
2006;lubelskie;bialski;tuczna;60117
2006;lubelskie;bialski;zalesie;60119
2007;lubelskie;bialski;kodeń;60106
2007;lubelskie;bialski;drelów;60104
2007;lubelskie;bialski;terespol;60102
2007;lubelskie;bialski;biała podlaska;60103
2007;lubelskie;bialski;rossosz;60113
2007;lubelskie;bialski;rokitno;60112
2007;lubelskie;bialski;janów podlaski;60105
2007;lubelskie;bialski;piszczac;60111
2007;lubelskie;bialski;międzyrzec podlaski;60110
2007;lubelskie;bialski;sławatycze;60114
2007;lubelskie;bialski;tuczna;60117
2007;lubelskie;bialski;leśna podlaska;60108
2007;lubelskie;bialski;łomazy;60109
2007;lubelskie;bialski;sosnówka;60115
2007;lubelskie;bialski;zalesie;60119
2007;lubelskie;bialski;terespol;60116
2007;lubelskie;bialski;wisznice;60118
2007;lubelskie;bialski;konstantynów;60107
2007;lubelskie;bialski;międzyrzec podlaski;60101
2008;lubelskie;bialski;terespol;60116
2008;lubelskie;bialski;rossosz;60113
2008;lubelskie;bialski;piszczac;60111
2008;lubelskie;bialski;leśna podlaska;60108
2008;lubelskie;bialski;łomazy;60109
2008;lubelskie;bialski;międzyrzec podlaski;60101
2008;lubelskie;bialski;biała podlaska;60103
2008;lubelskie;bialski;janów podlaski;60105
2008;lubelskie;bialski;rokitno;60112
2008;lubelskie;bialski;międzyrzec podlaski;60110
2008;lubelskie;bialski;kodeń;60106
2008;lubelskie;bialski;sławatycze;60114
2008;lubelskie;bialski;sosnówka;60115
2008;lubelskie;bialski;terespol;60102
2008;lubelskie;bialski;tuczna;60117
2008;lubelskie;bialski;wisznice;60118
2008;lubelskie;bialski;zalesie;60119
2008;lubelskie;bialski;konstantynów;60107
2008;lubelskie;bialski;drelów;60104
2009;lubelskie;bialski;wisznice;60118
2009;lubelskie;bialski;konstantynów;60107
2009;lubelskie;bialski;międzyrzec podlaski;60101
2009;lubelskie;bialski;rokitno;60112
2009;lubelskie;bialski;kodeń;60106
2009;lubelskie;bialski;biała podlaska;60103
2009;lubelskie;bialski;terespol;60102
2009;lubelskie;bialski;leśna podlaska;60108
2009;lubelskie;bialski;tuczna;60117
2009;lubelskie;bialski;sławatycze;60114
2009;lubelskie;bialski;międzyrzec podlaski;60110
2009;lubelskie;bialski;piszczac;60111
2009;lubelskie;bialski;łomazy;60109
2009;lubelskie;bialski;terespol;60116
2009;lubelskie;bialski;rossosz;60113
2009;lubelskie;bialski;zalesie;60119
2009;lubelskie;bialski;drelów;60104
2009;lubelskie;bialski;sosnówka;60115
2009;lubelskie;bialski;janów podlaski;60105
2010;lubelskie;bialski;terespol;60102
2010;lubelskie;bialski;międzyrzec podlaski;60101
2010;lubelskie;bialski;łomazy;60109
2010;lubelskie;bialski;zalesie;60119
2010;lubelskie;bialski;janów podlaski;60105
2010;lubelskie;bialski;wisznice;60118
2010;lubelskie;bialski;kodeń;60106
2010;lubelskie;bialski;konstantynów;60107
2010;lubelskie;bialski;leśna podlaska;60108
